,Job Title,Company Name,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Field of Study,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy
1393,Venture Growth,AngelList India,Venture Capital & Private Equity,"Delhi, India",False,2019.0,Venture Growth @ AngelList India | Founder @ Cloud Capital,"Working with AngelList team to rethink venture capital in India. Founder and Partner at Cloud Capital Syndicate for early-stage investments. Feel free to reach out if you're a founder looking to fundraise.

Follow me on Twitter - https://twitter.com/kashisharma_

I also run a tech newsletter: https://yetanothernewsletter.substack.com/",Vellore Institute of Technology,ug,group3,Computer Science and Engineering,Marketing,AngelList India,Growth Hacker,network,India,AS,Computer Science
1394,Category and Supply,ShopG,Mechanical or Industrial Engineering,"Tamil Nadu, India",False,2020.0,"ShopG | Category | Grad Student at VIT, Vellore|","A diligent student with a willingness to explore new opportunities. with mechanical engineering as majors in bachelors developed a deep interest in technology driven business and administration. I want to obtain a position that will allow me to utilize my technical skills,experience and willingness to learn in making an organization successful.",Vellore Institute of Technology,ug,group2,Mechanical Engineering,Marketing,ShopG,categoryandsupply,network,India,AS,Mechanical Engineering
1395,Product Marketing Manager,Paytm,Information Technology and Services,Greater Bengaluru Area,False,2020.0,Product Marketing Manager at Paytm | Ex-Ola | Ex-Payu,"Product Marketing Manager at Paytm , with 7+ years of experience and a demonstrated history of working in the internet industry. Skilled in Product Marketing, GTM, Consumer behavior, Demand Generation, Program Management.",Vellore Institute of Technology,pg,group3,Computer Software Engineering,Marketing,Paytm,Manager,network,India,AS,Computer Science
1396,Chief Executive Officer & Founder,Cyclotron Technologies,Information Technology and Services,"Chennai, Tamil Nadu, India",False,2013.0,Founder & CEO | Head of Business Development @ Cyclotron Technologies - A Leading Oracle NetSuite & Kissflow Solution Provider,"I love to help business’ and organisation identify complex problems and solve them with modern technology and systems. I help create, scale and optimize business portfolios that matter with technology,systems and process optimization. To accomplish this, I focus on empowering organisations with technology that helps deliver key outcomes, building amazing teams and quickly adapting to new learnings.

I have enjoyed many executive positions throughout my career in Construction, Project Management, Education and Learning systems, product management, product marketing, technical sales, engineering, and strategy. My personal and professional experiences have taught me the following about myself:

I can successfully help scale up businesses using Oracle NetSuite ERP and optimize businesses process Using Kissflow.

- I put the business at the center of all that I do.
- My expertise helps me excel at the execution of big ideas with given constraints and improve the business.
- My attention to detail and instinct to seek data and analyse it to improve business process using analytics and business intelligence helps me build suitable solutions for business’ across domains.

I envision and am currently building a world class team at Cyclotron Technologies to empower Business.
- I love to win, but empowering the team gives me greater joy
- I believe in WIN-WIN
- I am Techno-Functional and understand Business and Functionality.

Never Settle is a Mantra I Live by.

I learn, define and push myself to be a better person
- I am constantly yearning for knowledge and learning.
- I stay calm when faced with adversity
- I focus on making high-quality decisions
- I remain enthusiastic and ambitious while working under pressure.
- I have developed a mature approach to handle any undertaking or situation.

I love meeting new people and hearing new perspectives. 

Professional Skills
Product Management | ERP Systems | BPM Systems| Product Analytics | Team Development | Strategic Planning | Product Development | Product Roadmap |Implementation and Portfolio Strategy | Business Development | SaaS | Agile Development | Marketplace Platforms

Domain Knowledge
PropTech | Commercial and Residential Real Estate | IT and Data Security | IT Management Software | Enterprise Software | Small Business Software | MarTech | Digital Marketing | Branding 

Reach out if you want to talk to me about emerging tech, creating software products, building SaaS products, improving process using Technology on manjith@cyclotrontechnologies.com",Annamalai University,ug,group3,Computer Science,Marketing,Cyclotron Technologies,Founder,network,India,AS,Computer Science
1397,Retention Analyst,KreditBee,Consumer Services,"Bangalore Urban, Karnataka, India",False,2020.0,"Data Analyst, KreditBee, Fintech | VIT Vellore | Performance Marketing | Analytics & Insights - Turning Data into Business Value","Shiva is currently a Data Analyst for KreditBee (India's Largest FinTech Platform for Personal Loans for Professionals) business team. He collaborates closely with the CMO and drives both new and repeat churned users. He has proven expertise in performance marketing (acquisition, activation, retention, referral & revenue), product analytics (funnel and digital channel optimization), and CRM (campaign management), A/B testing, customer segmentation & targeting, marketing mix optimization, cost optimization, adfraud & credit risk management.

Shiva is recognised for his proactive approach to reporting and tracking campaigns for expanded reach and cost optimization, as well as his ability to work cross-functionally and juggle multiple responsibilities such as reporting, business analysis, and quickly becoming proficient with new tools.

In 2016, Shiva was instrumental in establishing VIT University, Vellore as a KrazyBee (India's Largest Student Credit Platform - Buy Now Pay Later) hub. He has also managed a team of 10-15 marketing interns and has been named the Best Campus Manager in four out of eight LeaderBoard competitions for the most number of referrals across all universities in India where KrazyBee has an existence.

Key Areas of Specialization - 
1. Analytics & Insights(Performance Marketing Analytics, Product Analytics)
2. Solving Business Problems with Data(Identifying digital adfrauds happening in app-install campaigns and fixing attribution issues, Funnel Optimization, Cost Optimization, Improving NPS & CRR, Marketing Effectiveness, Customer Segmentation, Customer Engagement, ORM)
3. Reporting Automation & Handling Data Requests(Python, SQL, Excel)
4. Mobile App Analytics tools (Appsflyer, CleverTap, mFilterit, App Annie, GPC)
5. Vendor Management, Self-Starter & Ownership
",Vellore Institute of Technology,pg,group2,Software Engineering,Marketing,KreditBee,Analyst,network,India,AS,Computer Science
1398,Digital Marketing Enthusiast,Paragon Digital Services Pvt Ltd,Marketing and Advertising,"Chennai, Tamil Nadu, India",False,2020.0,Digital Marketing Enthusiast at Paragon Digital Services (Dentsu International),,Vellore Institute of Technology,pg,group3,Marketing & IT,Marketing,Paragon Digital Services Pvt Ltd,Marketing,network,India,AS,Marketing and Finance
1399,Technical Blogger ,Medium,Information Technology and Services,"Tamil Nadu, India",False,2018.0,Full stack Dev/ XR Dev/ Facebook School of Innovation/ Freelancer/ ML Enthusiast/ Content Creator/  Research Scholar ,"Currently in Sydney, Australia working on Practical ML Applications and Quantum Research( Quantum Networks) at UTS.  My motivation for doing research is so that I can get an edge over other companies should I choose to start one on my own every time I make progress in the field I am researching.

I also on the side, work on personal projects in VR and in the Facebook School of Innovation in AR. I constantly write articles on Medium(@kanlanc) whenever I complete a new side project, explore something new or solve a problem that took me a while to solve. If you are interested in such topics, do follow.



I would like to describe myself as a programmer who is not adhered to a particular field and keeps exploring all pathways.",,ug,group2,Computer Science,Marketing,Medium,Blogger,network,India,AS,Computer Science
1400,Performance Marketing ,FamPay,Consumer Services,"Kochi, Kerala, India",False,2020.0,Growth at FamPay | Mobile app marketing,,Vellore Institute of Technology,ug,group2,Civil Engineering,Marketing,FamPay,Marketing,network,India,AS,Civil Engineering
1401,Growth Marketer,Khatabook,Marketing and Advertising,"Bengaluru, Karnataka, India",False,2020.0,Growth Marketer at Khatabook | Ex - PyxisAI | Ex - Merkle Sokrati - Dentsu Aegis Network,,Vellore Institute of Technology,ug,group2,Electronics and Instrumentation,Marketing,Khatabook,Marketing,network,India,AS,"Electrical, Electronics and Communication Engineering"
1402,MMS Student Council Fellow & Marketing Fellow,Duke University - The Fuqua School of Business,Capital Markets,"Boston, Massachusetts, United States",False,2020.0,Incoming Associate at EY-Parthenon,"Business master's student from Duke(Fuqua) with a Computer Science background, who graduated with honors & has distinctive experience - ranging from technology /product management, business analysis, analytics, to management consulting, and technical due diligence. 

Currently aiming at the intersection of business and technology, leveraging analytical skills and critical thinking, with a visionary team who enjoy drinking 10 cups of coffee a day with me!

Core Skillset: Strategy, Analysis, Product Management, Finance, Marketing, Accounting, Leadership, Stakeholder management. 
",Duke University - The Fuqua School of Business,pg,group1,"Management Studies, Technology Management (STEM)",Marketing,Duke University - The Fuqua School of Business,Marketing,network,United States,NA,Management
1403,Marketing Management Trainee,Darwinbox,Marketing and Advertising,"South Delhi, Delhi, India",False,2020.0,Marketing Management Trainee at Darwinbox,"Experienced professional with a demonstrated history of working in the sales and marketing field. Skilled in Digital Strategy, Web Development, C++, Java, and Public Speaking. Currently working as a Marketing Management Trainee at Darwinbox.",International Management Institute - IMI,pg,group2,Marketing,Marketing,Darwinbox,Manager,network,India,AS,Marketing and Finance
1404,Independent Recruiter,SkillSanta,E-Learning,"Tamil Nadu, India",False,2020.0,Master's degree at New Jersey Institute of Technology,"Co-founder of Settle-Metal, a tech startup. Skilled in Web Design, Management, Business Development, Content Management, and Marketing. ",New Jersey Institute of Technology,pg,group1,Computer Science,Marketing,SkillSanta,independentrecruiter,network,India,AS,Computer Science
1405,"Chief Executive Officer, Founder",The Content Bot,Marketing and Advertising,"Chennai, Tamil Nadu, India",False,2019.0,"Founder, CEO. | Digital Marketing Strategist | Entrepreneur & Business Coach","Determined, Motivated, and forever Inspiring!

This is exactly how I would label myself! 

So Hi there, I am Saranya Narayana Moorthy, CEO of The Content Bot [TCB].  Having a keen eye for Marketing and Negotiations, we have excelled in the chosen path and have paved the way for 15+startups and few corporate companies to create Branding for them through Content, Pitch Decks, and Social Media Marketing. 

Highly compassionate about Entrepreneurship. I love creating innovative business plans around the numerous Eureka ideas popping in mind thinking what should be my next move to create a disruptive impact on the customers. I love coming up with strategies in Digital Marketing that bring in massive success. I love consistently coming up with ideas that boost up creative Strategic Digital Planning.

With a deep love for life and passion to hustle, I would like my life to be a complete roller coaster adventure. I love meeting new people and talking to them, real deep conversations about ambition and passion instills a deep desire for inspiring motivation in me.

With a goal to anchor life on every form of active and passive income, I am an intuitive, resourceful and ambitious craftsman who uses a variety of media to express ideas. I am continually provoking myself to explore and learn. With broad premiums in Style, Blogging, and Business in various fragments of the learning background. Being a fashion designer myself, I allow different modulators and outside fragments to leave an inspiration, Imagination being my prime energy enables me to think, analyze and put in my ideologies and opinions. 

Still Venturing for new opportunities and Challenges. If you are someone looking to partner up for a business or if you are someone who needs valuable insights on making life better you can very well approach me for insights. I also provide consultation for digital and social media marketing, psychological marketing, sales, and negotiation. Write to me at saranya@thecontentbot.in and let us discuss the possibilities of working together.",Vellore Institute of Technology,ug,group2,Fashion Technology ,Marketing,The Content Bot,Founder,network,India,AS,fashiontechnology
1406,Business Development (APAC),Denodo,Information Technology and Services,"Chennai, Tamil Nadu, India",False,2020.0,𝓑𝓾𝓼𝓲𝓷𝓮𝓼𝓼 𝓭𝓮𝓿𝓮𝓵𝓸𝓹𝓶𝓮𝓷𝓽 || 𝓣𝓸𝓹 𝟏% 𝓘𝓷𝓭𝓾𝓼𝓽𝓻𝔂 & 𝓝𝓮𝓽𝔀𝓸𝓻𝓴 𝓢𝓢𝓘 𝓡𝓪𝓷𝓴 || 𝗞𝗶𝗻𝗲𝘀𝗶𝗰𝘀 𝗶𝘀 𝘁𝗵𝗲 𝗡𝗲𝘄 𝗔𝗱𝘃𝗲𝗻𝘁𝘂𝗿𝗲,"𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗺𝗲𝗻𝘁 || 𝗗𝗮𝘁𝗮 𝗩𝗶𝗿𝘁𝘂𝗮𝗹𝗶𝘇𝗮𝘁𝗶𝗼𝗻 || 𝗗𝗲𝗻𝗼𝗱𝗼 || 𝓖𝓸𝓸𝓰𝓵𝓮 𝓒𝓮𝓻𝓽𝓲𝓯𝓲𝓮𝓭 𝓐𝓷𝓪𝓵𝔂𝓼𝓽 𝓪𝓷𝓭 𝓓𝓲𝓰𝓲𝓽𝓪𝓵 𝓜𝓪𝓻𝓴𝓮𝓽𝓮𝓻  || 𝗘𝘅- 𝗜𝗻𝗳𝗼𝘀𝗰𝗶𝗼𝗻 || 𝗩𝗜𝗧 𝗔𝗹𝘂𝗺𝗻𝗮 || 𝗕𝗹𝗼𝗴𝗴𝗲𝗿 𝗮𝘁 ""𝓰𝓷𝓪𝓷𝓪𝔀𝓻𝓲𝓽𝓮𝓼.𝓫𝓵𝓸𝓰𝓼𝓹𝓸𝓽.𝓬𝓸𝓶"" || 𝟴𝟬𝗞 𝗔𝗻𝘀𝘄𝗲𝗿 𝗩𝗶𝗲𝘄𝘀 𝗼𝗻 𝓠𝓤𝓞𝓡𝓐( 𝓐𝓼 𝓹𝓮𝓻 𝟐𝟒𝓽𝓱 𝓢𝓮𝓹 𝟐𝟎𝟐𝟎)  || 𝗧𝗼𝗽 𝟭% 𝗜𝗻𝗱𝘂𝘀𝘁𝗿𝘆 𝗦𝗦𝗜 𝗥𝗮𝗻𝗸 || 𝗧𝗼𝗽 𝟭% 𝗡𝗲𝘁𝘄𝗼𝗿𝗸 𝗦𝗦𝗜 𝗥𝗮𝗻𝗸 ",Vellore Institute of Technology,ug,group2,Computer Science,Marketing,Denodo,developer,network,India,AS,Computer Science
1407,Associate,Internet Bull Report Inc.,Consumer Services,Greater Barcelona Metropolitan Area,False,2020.0,Building new opportunities | CEMS MIM | MSc in Entrepreneurship | Ex-Walmart | Ex-KPMG,"I hold a Bachelor’s in Information Technology from India, a Master’s in Innovation and Entrepreneurship from ESADE, and I'm doing my CEMS Masters in International Management. During my studies, I have led and managed diverse teams on several innovation projects and developed myself as a solutions architect. I have worked as a product developer on several consulting projects for start-ups and consulting multinationals and gained experience in the field of the supply chain through my time with retail multinationals. 

Through my several experiences, I have also been able to apply my engineering education in a business context including start-ups. And the several international and diverse exposures have helped me develop a viewpoint that is multi-disciplinary & exploratory in nature, and evolve into a sharp problem solver.

I have a passion to continuously learn, innovate, seize market opportunities and strive to broaden my perspective, experiment with various ideas, and work in an international context.

I have also spent a significant time with CFA studies and investing in high growth penny stocks, mid-size national companies and futures, and options. Outside work, I spend my time on the tennis court or the cricket field and look forward to long drives.",CEMS - The Global Alliance in Management Education,pg,group1,International Management ,Marketing,Internet Bull Report Inc.,Associate,network,Spain,EU,Management
1408,Operations Program Manager Intern,Apple,Mechanical or Industrial Engineering,"Cuttack, Orissa, India",True,2021.0,Operations Program Manager Intern at Apple,"A final year undergrad pursuing Mechanical Engineering at VIT Vellore, I love exploring new things and picking up different skills, even from the smallest things that life offers. 

Having interned at several startups for diverse roles and been actively involved in uplifting the start-up culture in VIT by facilitating students to gain access to information, resources and funding, I have developed a keen interest in business studies and entrepreneurship. Currently, I am interning as an OPM at Apple.

Recently, I have also gotten hooked to reading about Supply Chain, and Total Quality and Reliability Management and knowing the different nuances of Operations Management as well.

If I am not working, you will find me obsessing over books and my favourite authors or penning down my thoughts on my journals and collecting pretty stationery.",Vellore Institute of Technology,ug,group1,Mechanical with Specialisation in Automotive Engineering,Marketing,Apple,Manager,network,India,AS,Mechanical Engineering
1409,Head of Design,Computer Society of India - VIT Student Chapter,Information Technology and Services,"Delhi, India",False,2020.0,Head of Design at Computer Society of India | Computer Science at Vellore Institute of Technology,,Vellore Institute of Technology,ug,group1,Computer Science,Marketing,Computer Society of India - VIT Student Chapter,Team Leader,network,India,AS,Computer Science
1410,Digital Marketing Associate,SmartServ,Information Technology and Services,"Pune, Maharashtra, India",False,2020.0,Digital Marketing Associate at SmartServ | SAAS Business ,"Experienced Digital Marketing Specialist with a demonstrated history of working in the computer software industry. Skilled in Search Engine Optimization (SEO), Analytical Skills, Microsoft Word, Communication, and Management. Strong marketing professional with a Bachelor of Technology focused in Biomedical/Medical Engineering from Vellore Institute of Technology. ",Vellore Institute of Technology,ug,group2,Biomedical/Medical Engineering,Marketing,SmartServ,Associate,network,India,AS,biomedicalmedicalengineering
1411,Apprentice Leader,Mu Sigma Inc.,Management Consulting,"Bengaluru, Karnataka, India",False,2020.0,Apprentice Leader | Business Development | Retail | Analytics professional | 5+ Years | Mu Sigma Inc.,"Currently responsible for aiding multiple cross functional teams across a range of customers at Mu Sigma, one of the world's largest decision sciences and pure play analytics company. 

Recognized for business development strategy, project management skills, accountability, team player, clarity in thought, attention to detail, and end to end execution.

KEY PROJECTS:
CRM - Customer Relationship Management, Customer Centric Assortment Optimization using Machine Learning, Omni-Channel Analysis, Site Analytics, Clickstream for a leading Ecommerce, Anomaly Detection, Campaign Design & Measurement, Customer Path Analysis, Forecasting & Planning, Cost of Customer Acquisition, FP&A - Financial Planning and Analysis, Marketing Spend Optimization",Vellore Institute of Technology,ug,group3,Mechanical Engineering,Marketing,Mu Sigma Inc.,Team Leader,network,India,AS,Mechanical Engineering
1412,Growth Marketer,Bright Money,Marketing and Advertising,"Bangalore Urban, Karnataka, India",False,2020.0,"Growth, Product Marketing, Performance Marketing.","Aayush Jain is currently working in Bright Money.
Aayush has worked 3 years in digital advertising space with YourStory and InMobi. 
He is a graduate from VIT University, Vellore 2017 batch and has received a badge of notable alumni of VIT from the management for his work in university's digital activation. 
At LinkedIn, he loves to build a personal brand, helping people get their careers on track and counsel in free time!
Leave a message if you have to connect or drop him an email on dmwithaayush@gmail.com",Vellore Institute of Technology,ug,not-given,Electronics and Instrumentation Engineering,Marketing,Bright Money,Marketing,network,India,AS,"Electrical, Electronics and Communication Engineering"
1413,Growth Marketer - Retention & Revenue,CoinDCX,Consumer Services,"Bangalore Urban, Karnataka, India",False,2020.0,"Growth Marketer @ CoinDCX || Ex - Bigbasket, Swiggy, Groww",Account Management | Business Insights | Data Analysis | Marketing and Strategic planning,Vellore Institute of Technology,ug,group2,Civil Engineering,Marketing,CoinDCX,Marketing,network,India,AS,Civil Engineering
1414,Product Marketer,Outplay,Marketing and Advertising,"Bangalore Urban, Karnataka, India",True,2021.0,Product Marketer at Outplay | Demand Generation | B2B | SaaS Marketing,,Vellore Institute of Technology,ug,group3,Computer Science,Marketing,Outplay,Marketing,network,India,AS,Computer Science
1415,Business Strategy-Fresh Category(Pan India),udaan.com,Information Technology and Services,"Bangalore Urban, Karnataka, India",False,2020.0,Business Strategy-Fresh Category(Pan India),"Over 5 years of progressive experience in leading multi-functional teams managing high-performance category sales, developing creative go-to-market strategies, and executing aggressive growth plans for categories.

Can contribute immediately by:
- Building revenues & market share through joint ventures and alliances.
- Integrating selling, pricing and promotion for effective downstream marketing.
- Recruiting, developing and leading top performing sales teams 
-Implementation of sales strategies designed to maximize revenue and yield.
-Achieve market share by directing the group and transient sales and marketing strategies.",Indian School of Business,pg,group1,Strategy and Leadership,Marketing,udaan.com,Business Stratergy,network,India,AS,Business Studies
1416,Growth,apna,Consumer Services,"Udaipur, Rajasthan, India",False,2020.0,Building apna | Hiring for Biz-ops and Inside Sales roles,"3 years of entrepreneurial experience as a Founding Team Member of Ed-tech Startup, Metamorphosis. Scaled successfully from 0 to 1, currently scaling from 1-10.
Enabling entrepreneurial skill-set among students through interactive & activity-based curriculum and nurturing young entrepreneurs.

I would love to connect to people to discuss about start-ups, ed-tech, fin-tech, e-commerce, stand up comedy, sports and everything.
The best way to reach me out is on email: shrey@metamorphosisedu.com
",Vellore Institute of Technology,ug,group2,Computer Science,Marketing,apna,Growth Hacker,network,India,AS,Computer Science
1417,Marketing Communications Specialist,Wistron,Information Technology and Services,"Mumbai, Maharashtra, India",False,2020.0,Marketing Communications Specialist at Wistron,"Hi, I’m Shreya, the marketer by profession. I have 4 years of experience in the areas of marketing such as branding, marketing strategy, analyst relations, public relations, campaign management, product marketing , corporate marketing and  marketing communications .
I have experience leading marketing in both startups and established company environments. I love marketing and have the ability to work independently with a proven track record of creating and executing marketing programs that drive measurable business results.

",Narsee Monjee Institute of Management Studies,not_given,group2,,Marketing,Wistron,Marketing,network,India,AS,not_given
1418,Venture Growth,AngelList India,Venture Capital & Private Equity,"Delhi, India",False,2019.0,Venture Growth @ AngelList India | Founder @ Cloud Capital,"Working with AngelList team to rethink venture capital in India. Founder and Partner at Cloud Capital Syndicate for early-stage investments. Feel free to reach out if you're a founder looking to fundraise.

Follow me on Twitter - https://twitter.com/kashisharma_

I also run a tech newsletter: https://yetanothernewsletter.substack.com/",Vellore Institute of Technology,ug,group3,Computer Science and Engineering,Marketing,AngelList India,Growth Hacker,network,India,AS,Computer Science
1419,Category and Supply,ShopG,Mechanical or Industrial Engineering,"Tamil Nadu, India",False,2020.0,"ShopG | Category | Grad Student at VIT, Vellore|","A diligent student with a willingness to explore new opportunities. with mechanical engineering as majors in bachelors developed a deep interest in technology driven business and administration. I want to obtain a position that will allow me to utilize my technical skills,experience and willingness to learn in making an organization successful.",Vellore Institute of Technology,ug,group2,Mechanical Engineering,Marketing,ShopG,categoryandsupply,network,India,AS,Mechanical Engineering
1420,Product Marketing Manager,Paytm,Information Technology and Services,Greater Bengaluru Area,False,2020.0,Product Marketing Manager at Paytm | Ex-Ola | Ex-Payu,"Product Marketing Manager at Paytm , with 7+ years of experience and a demonstrated history of working in the internet industry. Skilled in Product Marketing, GTM, Consumer behavior, Demand Generation, Program Management.",Vellore Institute of Technology,pg,group3,Computer Software Engineering,Marketing,Paytm,Manager,network,India,AS,Computer Science
1421,Chief Executive Officer & Founder,Cyclotron Technologies,Information Technology and Services,"Chennai, Tamil Nadu, India",False,2013.0,Founder & CEO | Head of Business Development @ Cyclotron Technologies - A Leading Oracle NetSuite & Kissflow Solution Provider,"I love to help business’ and organisation identify complex problems and solve them with modern technology and systems. I help create, scale and optimize business portfolios that matter with technology,systems and process optimization. To accomplish this, I focus on empowering organisations with technology that helps deliver key outcomes, building amazing teams and quickly adapting to new learnings.

I have enjoyed many executive positions throughout my career in Construction, Project Management, Education and Learning systems, product management, product marketing, technical sales, engineering, and strategy. My personal and professional experiences have taught me the following about myself:

I can successfully help scale up businesses using Oracle NetSuite ERP and optimize businesses process Using Kissflow.

- I put the business at the center of all that I do.
- My expertise helps me excel at the execution of big ideas with given constraints and improve the business.
- My attention to detail and instinct to seek data and analyse it to improve business process using analytics and business intelligence helps me build suitable solutions for business’ across domains.

I envision and am currently building a world class team at Cyclotron Technologies to empower Business.
- I love to win, but empowering the team gives me greater joy
- I believe in WIN-WIN
- I am Techno-Functional and understand Business and Functionality.

Never Settle is a Mantra I Live by.

I learn, define and push myself to be a better person
- I am constantly yearning for knowledge and learning.
- I stay calm when faced with adversity
- I focus on making high-quality decisions
- I remain enthusiastic and ambitious while working under pressure.
- I have developed a mature approach to handle any undertaking or situation.

I love meeting new people and hearing new perspectives. 

Professional Skills
Product Management | ERP Systems | BPM Systems| Product Analytics | Team Development | Strategic Planning | Product Development | Product Roadmap |Implementation and Portfolio Strategy | Business Development | SaaS | Agile Development | Marketplace Platforms

Domain Knowledge
PropTech | Commercial and Residential Real Estate | IT and Data Security | IT Management Software | Enterprise Software | Small Business Software | MarTech | Digital Marketing | Branding 

Reach out if you want to talk to me about emerging tech, creating software products, building SaaS products, improving process using Technology on manjith@cyclotrontechnologies.com",Annamalai University,ug,group3,Computer Science,Marketing,Cyclotron Technologies,Founder,network,India,AS,Computer Science
1422,Retention Analyst,KreditBee,Consumer Services,"Bangalore Urban, Karnataka, India",False,2020.0,"Data Analyst, KreditBee, Fintech | VIT Vellore | Performance Marketing | Analytics & Insights - Turning Data into Business Value","Shiva is currently a Data Analyst for KreditBee (India's Largest FinTech Platform for Personal Loans for Professionals) business team. He collaborates closely with the CMO and drives both new and repeat churned users. He has proven expertise in performance marketing (acquisition, activation, retention, referral & revenue), product analytics (funnel and digital channel optimization), and CRM (campaign management), A/B testing, customer segmentation & targeting, marketing mix optimization, cost optimization, adfraud & credit risk management.

Shiva is recognised for his proactive approach to reporting and tracking campaigns for expanded reach and cost optimization, as well as his ability to work cross-functionally and juggle multiple responsibilities such as reporting, business analysis, and quickly becoming proficient with new tools.

In 2016, Shiva was instrumental in establishing VIT University, Vellore as a KrazyBee (India's Largest Student Credit Platform - Buy Now Pay Later) hub. He has also managed a team of 10-15 marketing interns and has been named the Best Campus Manager in four out of eight LeaderBoard competitions for the most number of referrals across all universities in India where KrazyBee has an existence.

Key Areas of Specialization - 
1. Analytics & Insights(Performance Marketing Analytics, Product Analytics)
2. Solving Business Problems with Data(Identifying digital adfrauds happening in app-install campaigns and fixing attribution issues, Funnel Optimization, Cost Optimization, Improving NPS & CRR, Marketing Effectiveness, Customer Segmentation, Customer Engagement, ORM)
3. Reporting Automation & Handling Data Requests(Python, SQL, Excel)
4. Mobile App Analytics tools (Appsflyer, CleverTap, mFilterit, App Annie, GPC)
5. Vendor Management, Self-Starter & Ownership
",Vellore Institute of Technology,pg,group2,Software Engineering,Marketing,KreditBee,Analyst,network,India,AS,Computer Science
1423,Digital Marketing Enthusiast,Paragon Digital Services Pvt Ltd,Marketing and Advertising,"Chennai, Tamil Nadu, India",False,2020.0,Digital Marketing Enthusiast at Paragon Digital Services (Dentsu International),,Vellore Institute of Technology,pg,group3,Marketing & IT,Marketing,Paragon Digital Services Pvt Ltd,Marketing,network,India,AS,Marketing and Finance
1424,Technical Blogger ,Medium,Information Technology and Services,"Tamil Nadu, India",False,2018.0,Full stack Dev/ XR Dev/ Facebook School of Innovation/ Freelancer/ ML Enthusiast/ Content Creator/  Research Scholar ,"Currently in Sydney, Australia working on Practical ML Applications and Quantum Research( Quantum Networks) at UTS.  My motivation for doing research is so that I can get an edge over other companies should I choose to start one on my own every time I make progress in the field I am researching.

I also on the side, work on personal projects in VR and in the Facebook School of Innovation in AR. I constantly write articles on Medium(@kanlanc) whenever I complete a new side project, explore something new or solve a problem that took me a while to solve. If you are interested in such topics, do follow.



I would like to describe myself as a programmer who is not adhered to a particular field and keeps exploring all pathways.",,ug,group2,Computer Science,Marketing,Medium,Blogger,network,India,AS,Computer Science
1425,Performance Marketing ,FamPay,Consumer Services,"Kochi, Kerala, India",False,2020.0,Growth at FamPay | Mobile app marketing,,Vellore Institute of Technology,ug,group2,Civil Engineering,Marketing,FamPay,Marketing,network,India,AS,Civil Engineering
1426,Growth Marketer,Khatabook,Marketing and Advertising,"Bengaluru, Karnataka, India",False,2020.0,Growth Marketer at Khatabook | Ex - PyxisAI | Ex - Merkle Sokrati - Dentsu Aegis Network,,Vellore Institute of Technology,ug,group2,Electronics and Instrumentation,Marketing,Khatabook,Marketing,network,India,AS,"Electrical, Electronics and Communication Engineering"
1427,MMS Student Council Fellow & Marketing Fellow,Duke University - The Fuqua School of Business,Capital Markets,"Boston, Massachusetts, United States",False,2020.0,Incoming Associate at EY-Parthenon,"Business master's student from Duke(Fuqua) with a Computer Science background, who graduated with honors & has distinctive experience - ranging from technology /product management, business analysis, analytics, to management consulting, and technical due diligence. 

Currently aiming at the intersection of business and technology, leveraging analytical skills and critical thinking, with a visionary team who enjoy drinking 10 cups of coffee a day with me!

Core Skillset: Strategy, Analysis, Product Management, Finance, Marketing, Accounting, Leadership, Stakeholder management. 
",Duke University - The Fuqua School of Business,pg,group1,"Management Studies, Technology Management (STEM)",Marketing,Duke University - The Fuqua School of Business,Marketing,network,United States,NA,Management
1428,Marketing Management Trainee,Darwinbox,Marketing and Advertising,"South Delhi, Delhi, India",False,2020.0,Marketing Management Trainee at Darwinbox,"Experienced professional with a demonstrated history of working in the sales and marketing field. Skilled in Digital Strategy, Web Development, C++, Java, and Public Speaking. Currently working as a Marketing Management Trainee at Darwinbox.",International Management Institute - IMI,pg,group2,Marketing,Marketing,Darwinbox,Manager,network,India,AS,Marketing and Finance
1429,Independent Recruiter,SkillSanta,E-Learning,"Tamil Nadu, India",False,2020.0,Master's degree at New Jersey Institute of Technology,"Co-founder of Settle-Metal, a tech startup. Skilled in Web Design, Management, Business Development, Content Management, and Marketing. ",New Jersey Institute of Technology,pg,group1,Computer Science,Marketing,SkillSanta,independentrecruiter,network,India,AS,Computer Science
