,Industry,Company Location,New Job (90 Days),Year Started,Profile Headline,Profile Summary,School,Degree,Education End,Domain,CompanyName,JobTitle,My Network,Country,Continent,FieldOfStudy,Industry_embedding,Company Location_embedding,Profile Headline_embedding,Profile Summary_embedding,School_embedding,Degree_embedding,Education End_embedding,Domain_embedding,CompanyName_embedding,JobTitle_embedding,My Network_embedding,Country_embedding,Continent_embedding,FieldOfStudy_embedding
1030,Consumer Goods,United Arab Emirates,False,2018.0,Sales Manager,"I am Ajay Sharma, MBA in International Business and B.Tech in Mechanical & Automotive Engineering. I am an experienced individual from the Metal Trading Industry having a deep understanding of the market, process and customers. 

During the past 10 years I have worked on variety of assignments like New Market Development, Business Development, Marketing, After Sales Support, Sourcing, Dealer/vendor management and undertaken various projects on process improvement in Steel, Non Ferrous Metals, and Plant & Machinery Equipment. 

Trading companies requires strong relationship building skills with various stake holders involved in the trading operation and understanding of the key vulnerable areas for smooth operations. 

I am young , energetic and confident people person who likes to interact with new people. I am self driven and like taking challenges, which bring the best in me. 

My Objective in life is quite simple which is to try and be the best in what i do",Vellore Institute of Technology,pg,group3,Sales,Undisclosed,Manager,network,United Arab Emirates,AS,Business Studies,0.39451176,0.51368505,-0.27613726,-0.42368227,0.75134337,-0.61622804,-0.799207,-0.11225095,0.27990445,-0.4709951,-0.34562543,0.51368517,-0.227953,-0.09012361
1031,Industrial Automation,United Arab Emirates,False,2015.0,Sales at ABB,"An experienced professional with vast experience in sales, tendering, proposals, estimation and a wide technical knowledge of industrial automation.  Also have huge experience on tendering & estimation of EPC based projects.",,ug,group3,Sales,ABB,Sales Representative,network,United Arab Emirates,AS,"Electrical, Electronics and Communication Engineering",0.10958158,0.51368505,0.07078227,-0.54281497,0.006889103,-0.12845042,-0.799207,-0.11225095,-0.040573485,-0.08542128,-0.34562543,0.51368517,-0.227953,0.66143984
1032,Primary/Secondary Education,"Redmond, Washington, United States",False,2020.0,Technical Account Manager at Amazon Web Services,"Represent AWS within a customer’s environment. Provide advocacy and strategic technical guidance to help plan and build solutions using best practices, and proactively keep your customers’ AWS environments operationally healthy. 

Expert in Amazon S3.
   
Reach me at :
E-mail: skattiya@buffalo.edu
Contact : +1 716-479-8576
","University at Buffalo School of Management, The State University of New York",pg,group2,Sales,Amazon Web Services (AWS),Manager,network,United States,NA,Computer Science,0.1481779,0.89912766,-0.3784034,-0.13094857,-0.10860925,-0.61622804,-0.5348988,-0.11225095,-0.568302,-0.4709951,-0.34562543,0.21777464,0.20820911,-0.5947676
1033,Information Technology and Services,"Sydney, New South Wales, Australia",True,2021.0,Salesforce Consultant | 6x Certified | IIBA Certified | CRM Manager | Sales Operations Specialist,"Certified Salesforce Product Manager with hands on experience in Inbound Marketing, Lead to Order Sales Processes, CPQ, Field Service, Community Cloud, B2B eCommerce portal and System Integration.
Expertise in working with the cross-functional IT teams, and divisions to align business processes with the technology architecture and delivering solutions to meet desired business outcomes. 
Well versed with the functional and technical aspects of Salesforce architecture. 

Primary Skills
Salesforce.com Declarative > LightningExperience, Visual Flows, Workflow, Approval Process, Process Builder, Reports, & Sharing Model.

Salesforce.com Programmatic > AuraFramework, Lightning components, Apex, VisualForce Pages, Controller, Custom Settings, Static Resource, Components.

AppExchange packages > Conga Composer, RollupHelper, Venue eCommerce.

Tools > Eclipse, Workbench, DataLoader, Informatica, Hubspot.

Database Query Languages > SOQL, SOSL, SQL.
",Management Development Institute,pg,group3,Sales,Sage,Sales Representative,network,Australia,OC,Marketing and Finance,-0.24523748,-0.029010333,0.008096613,-0.5914932,-0.40237576,-0.61622804,-0.799207,-0.11225095,-0.14356594,-0.08542128,-0.34562543,-0.083794236,-0.11963407,-0.18475033
1034,Primary/Secondary Education,"Kitchener, Ontario, Canada",False,2020.0,Admissions Coordinator at ApplyBoard,"After graduating in Bachelor of Business Administration in India, I pursued to do my Post Graduate Diploma Certification courses at Georgian College, Barrie, Canada. During these two years at Georgian, I had the opportunity to develop my interpersonal skills through various volunteering and part-time jobs inside and outside the campus. 
Despite my interest in research and baking, I desire to be a part of a people-focused career. Along with my passion for education, I have found a successful career as an Admissions Coordinator at ApplyBoard.
Today's youths are tomorrow's leaders, and my vision is to help them decide, learn, and accomplish what they want to be in their careers.",Georgian College,pg,group2,Sales,ApplyBoard,Coordinator,network,Canada,NA,"Electrical, Electronics and Communication Engineering",0.1481779,-0.4569817,-0.16481276,-0.25028142,-0.09251635,-0.61622804,-0.5348988,-0.11225095,0.17689833,-0.4547119,-0.34562543,-0.40686503,0.20820911,0.66143984
1035,Electrical/Electronic Manufacturing,"Tamil Nadu, India",False,2019.0,Electronics Associate at IEEE RAS VIT.,I am currently interesting in learning stuff related to robotics hoping to pursue my career in it. ,Vellore Institute of Technology,ug,group1,Sales,IEEE Robotics and Automation Society VIT,Associate,network,India,AS,Computer Science,0.9951454,0.56172913,0.31609264,-0.118051365,0.75134337,-0.12845042,-0.5150479,-0.11225095,0.047492877,-0.19023131,-0.34562543,-0.15667738,-0.227953,-0.5947676
1036,Information Technology and Services,"Toronto, Ontario, Canada",False,2019.0,Technical Support Consultant at Rogers Communications,"About me :
Completed PGD in Cloud Computing for Big Data


Strong Scientific programming skills. 
Passionate about Data Analysis, Data Mining,  Machine learning, and SQL 
• Proficiency in programming languages such as R Programming and Python.
• .Expert in Data Visualization Tool Tableau
• Proficiency in front-end languages like HTML, CSS, and JavaScript.
• Strong in Computer Networking Concepts and IT support.
• Intermediate skill in Java programming languages.
• Computer Networking (TCP/IP, Routing Protocols, Subnetting, VLAN)
• Understanding concepts like Virtualization, Cloud, Blockchain, and CFEngine

",Lambton College,pg,group2,Sales,Rogers Communications,Consultant,network,Canada,NA,Computer Science,-0.24523748,-0.3674501,0.16498244,-0.85214543,0.5564611,-0.61622804,-0.5348988,-0.11225095,-0.40508676,-0.03352006,-0.34562543,-0.40686503,0.20820911,-0.5947676
1037,Marketing and Advertising,"St. Kilda East, Victoria, Australia",False,2020.0,SEO Account Manager  at Sensis,"Hi, my name is Diwaker and my passion for SEO started while I was working at Sensis as a SEO specialist. In this role, I had the opportunity to learn and implement the art and craft of Website Search Engine optimisation. My tenure at Sensis also provided me the opportunity to learn the nuances of Google products including Google Analytics, Google Tag Manager, Google Adwords, Google Search Console and Google My Business. 

I have demonstrated experience of taking ownership of the SEO Campaigns, including administration, creating engaging content, monitoring responses, measuring page performance, and recommending growth strategies to catapult SERP. The role helped me gain the ability to create reports on all website activity, incoming traffic (social, SEM, SEO) and sales (weekly & monthly), and abet data-driven decision making. I had worked with the development team, ensuring that the coding was clean and incorporates necessary UI/UX factors, that supports on page optimisation. 

The experience with Sensis, helped me gain the necessary confidence and expertise to establish my own SEO Agency – Live SEO Service. Over here, I am responsible for client acquisition, developing SEO strategies, conducting SEO Audits, keyword research, competitor site analysis and providing proven solutions that can improve the ranking of customer’s website for the selected keywords. Developed capabilities to execute the A/B testing, collect and analyse data and results, identify trends and insights to achieve maximum ROI in the assigned campaigns.

I leverage on solid relationship management and clear communication to handle clients, understand their exact requirements and deliver the best possibilities of the projects. I have a proven ability to recommend changes to website architecture, content, linking, and other factors to improve SEO positions for target keywords. 

I am keen to connect with prospective clients and fellow marketers, through LinkedIn to share my experience and expertise. ",INDIAN SCHOOL OF BUSINESS MANAGEMENT AND ADMINISTRATION,pg,not-given,Sales,Sensis,Manager,network,Australia,OC,Management,0.3715994,-0.065461025,-1.0894754,-0.7948607,-0.12668361,-0.61622804,0.45873982,-0.11225095,0.011000894,-0.4709948,-0.34562543,-0.083794296,-0.11963407,-0.581318
1038,Information Technology and Services,"Chinthamani Madurai, Tamil Nadu, India",False,2017.0,Account Manager at dailyhunt (Versé Innovation Pvt Ltd),"•	Generated  new leads and Increased revenue in a new market
•	Identified clients problem and contributed a good customer services and maintained a healthy relationship with clients
•	Came up with new idea and schemes and created a space in particular market
•	Made a strong networking with clients and built a good relationship and increased the brand awareness about the product to the clients.
•	Achieved the target and also made repeated business with clients.
",Vellore Institute of Technology,pg,group2,Sales,dailyhunt (Versé Innovation Pvt Ltd),Manager,network,India,AS,Marketing and Finance,-0.24523748,0.7061544,0.25367224,-0.29305094,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.54298073,-0.4709951,-0.34562543,-0.15667738,-0.227953,-0.18475033
1039,Information Technology and Services,"Tamil Nadu, India",False,2020.0,Associate Manager - Presales (SaaS)|Kronos COE  at HCL Technologies,"Performance-driven and hard-working Salesforce Consultant in developing new business solutions, managing workflows, and implementing new sales team development strategies. Certified Salesforce Administrator and Sales Cloud professional with the passion to transform, implement, and deliver different business solutions within the Salesforce platform.",Vellore Institute of Technology,ug,group3,Sales,HCL Technologies,Manager,network,India,AS,Computer Science,-0.24523748,0.56172913,-0.2785803,-0.49450964,0.75134337,-0.12845042,-0.799207,-0.11225095,0.5326753,-0.4709951,-0.34562543,-0.15667738,-0.227953,-0.5947676
1040,Biotechnology,"Montreal, Quebec, Canada",False,2020.0,"Client Relationship and Program Manager at Rideau, Inc.","Customer/Client service team manager with 4+ years of experience in Canadian telecommunications industry, with a strong academic background in life sciences. Presently I am working as Client Relationship  and Program Manager to help my clients with employee recognition. My expertise involves Project Management, Client Service and Implementation skills while building strong relationships with the clients.","CRA School of Montreal, Canada",not_given,group2,Sales,"Rideau, Inc.",Manager,network,Canada,NA,Research,0.22836165,-0.51645464,-0.4734977,0.035232775,-0.0776142,0.52895904,-0.5348988,-0.11225095,-0.10043613,-0.4709951,-0.34562543,-0.40686503,0.20820911,-0.29609296
1041,Electrical/Electronic Manufacturing,"Bengaluru, Karnataka, India",False,2020.0,Field Application Engineer at Wuerth Elektronik India Pvt. Ltd,"Want to explore and excel in the field of Electronics and electrical engineering by applying the knowledge and skills acquired through academics and experience. Determined to take up and accept new challenges and produce results more efficiently. 
Mainly focused and interested in design, testing and hardware implementation of electrical circuits. Interested in FEA of machines.",Vellore Institute of Technology,pg,group2,Sales,Wuerth Elektronik India Pvt. Ltd,Engineer,network,India,AS,"Electrical, Electronics and Communication Engineering",0.9951454,0.39514416,0.36156583,-0.09988477,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.39838308,0.21950708,-0.34562543,-0.15667738,-0.227953,0.66143984
1042,Information Technology and Services,"Portland, Oregon, United States",False,2020.0,"Digital Marketing Analyst | Artist(Writing, Painting) | Photographer | Versatile player at Full Creative .",I am creative person. I believe in the quality as an ultimate result on combining the science(technology/facts) with the art(distinctive approach). ,Vellore Institute of Technology,pg,group2,Sales,AnswerConnect,Marketing,network,United States,NA,Computer Science,-0.24523748,0.54697776,-0.19097337,-0.3559967,0.75134337,-0.61622804,-0.5348988,-0.11225095,-0.08246928,0.0450863,-0.34562543,0.21777464,0.20820911,-0.5947676
1043,Information Technology and Services,"Gurgaon, Haryana, India",False,2020.0,--,,Vellore Institute of Technology,pg,group2,Sales,Konverge Technologies Private Limited,Sales Representative,network,India,AS,Computer Science,-0.24523748,-0.28007355,0.12401958,0.0068888944,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.087361485,-0.08542128,-0.34562543,-0.15667738,-0.227953,-0.5947676
1044,Hospital & Health Care,"Bangalore Urban, Karnataka, India",False,2020.0,Account Manager at LifeScan,"Accomplished in sales about 5 years of experience in Pharmaceutical MNC. Perusing a position to use my Core competencies and soft skills that can be effectively increase profitability to the organization. Within high volume specialty pharmaceutical sales role, addressed and resolved diverse client needs to ensure
Contact retention and satisfaction for the brands I represent.",Vellore Institute of Technology,pg,group3,Sales,LifeScan,Manager,network,India,AS,Biotechnology,0.6416101,0.41186523,0.16431656,-0.5360563,0.75134337,-0.61622804,-0.799207,-0.11225095,0.24918258,-0.4709951,-0.34562543,-0.15667738,-0.227953,0.22836168
1045,Consumer Goods,"Pune, Maharashtra, India",False,2020.0,Technical Sales Specialist at Intel Corporation,"I work as as Technical Sales Specialist in Intel
I was Manager in Cray Supercomputers India now HPE.
I look after HPC Application (Installation, porting, optimization,customer support,training,etc ) at Cray's customer site at Indian Institute of Tropical Meteorology(Ministry of Earth Science, India ) and System Team.
Priory to IITM I worked for HPC Applications at Supercomputer Education and Research Center at Cray's customer site at Indian Institute of Science along with all the Cray sites across India. 
I was an MTech Intern in High Performance Computing group in SSG, Intel Bangalore.

During my internship in Intel Corporation
1.	I have worked on analysis and optimization of various software applications (In C and Fortran) using various intel tools .
2.	Xeon and Xeon Phi scaling of various High Performance Computing applications .
3.	MPI and OpenMP Analysis and optimization on various HPC application .
4.	Use of various Intel tools for optimization like Intel Vtune Parallel Studio, Intel Trace Analyzer, Intel Thread inspector  for Intel compilers .
5.	Also working on Matlab and Octave for graphics processing .
6.	Also working on tool to compare GPU and Xeon Phi performance comparison 

During my job in Infosys 
1.	Core Java Developer
2.	Good handling of deadline following SDLC

During my internship in TCS TRRDDC
1. Core Java Developer
2. Embedded C Developer

I am from Computer Science background and I would like to put my knowledge into work.
Also I am very much interested in learning new technologies and software development 
",Vellore Institute of Technology,pg,group2,Sales,Intel Corporation,Sales Representative,network,India,AS,Computer Science,0.39451176,0.20149222,0.4715796,-0.24328142,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.30198842,-0.08542128,-0.34562543,-0.15667738,-0.227953,-0.5947676
1046,Civil Engineering,"Kollam, Kerala, India",True,2021.0,Territory Sales Officer at Birla White,"Experienced Executive with a demonstrated history of working in the building materials industry. Skilled in Microsoft Word, C++, Public Speaking. Strong business development professional graduated from Vellore University, VIT. ",Vellore Institute of Technology,pg,not-given,Sales,Birla White,Officer,network,India,AS,Marketing and Finance,0.51126933,0.25703132,-0.058401488,-0.48047507,0.75134337,-0.61622804,0.45873982,-0.11225095,-0.12715203,0.035240933,-0.34562543,-0.15667738,-0.227953,-0.18475033
1047,Consumer Services,"Delhi, India",False,2019.0,Digital Solutions(Developers)  at Sun Life,"Strong in design and integration with intuitive problem-solving skills. Proficient in PYTHON, SQL, Data Analytics, Data Visualization, Data Science. Passionate about implementing and launching new projects. Ability to translate business requirements into technical solutions. Looking to start the career as a Data Scientist or Data Analytics with a reputed firm driven by technology.",Vellore Institute of Technology,ug,group2,Sales,Sun Life,Solution Expert,network,India,AS,Computer Science,0.38967007,0.043291796,0.33334702,-0.6651117,0.75134337,-0.12845042,-0.5348988,-0.11225095,0.7007406,-0.74793065,-0.34562543,-0.15667738,-0.227953,-0.5947676
1048,Electrical/Electronic Manufacturing,"Ernakulam, Kerala, India",False,2018.0,Embedded Field Application Engineer at RapidGo,I am an ambitious individual who is looking for to broaden my career path. My background in Electronics and communication engineering. Actively looking job in  Embedded Field.,Vellore Institute of Technology,pg,group2,Sales,RapidGo,Engineer,network,India,AS,engineering,0.9951454,0.17444423,-0.13431223,0.20762628,0.75134337,-0.61622804,-0.5348988,-0.11225095,-0.4251779,0.21950708,-0.34562543,-0.15667738,-0.227953,0.24271272
1049,E-Learning,"Bangalore Urban, Karnataka, India",False,2019.0,Secondary Market Research,"Experienced Market Specialist with a demonstrated history of working in the e-learning industry. Skilled in Market Analysis, Administration, Research, Market Research, and Management Consulting. Strong sales professional graduated from Institute of Management Technology, Ghaziabad. ","Institute of Management Technology, Ghaziabad",pg,group3,Sales,Freelance,PhD Student,network,India,AS,not_given,-0.8000387,0.41186523,-0.42086235,-0.8045868,-0.4010732,-0.61622804,-0.799207,-0.11225095,0.29647255,-0.07305196,-0.34562543,-0.15667738,-0.227953,0.52895916
1050,Biotechnology,Greater Chennai Area,False,2017.0,student at VIT university,"I am a smart worker,Good team player, Decisive,Eager to learn new  things,Good in convincing people,Responsible person and interested in taking up challenging jobs.
Learn new things work towards achieving companies goal and simultaneously to have growth in my life,both economically and knowledge wise.",Vellore Institute of Technology,pg,group2,Sales,Zydus Health Care. Ltd,Manager,network,India,AS,Marketing and Finance,0.22836165,0.5458006,0.6352959,-0.4070621,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.6870989,-0.4709948,-0.34562543,-0.15667738,-0.227953,-0.18475033
1051,Consumer Services,"Hyderabad, Telangana, India",False,2019.0,Key Account Executive at METRO/MAKRO Cash and Carry,,VIT_Vellore Institute of Technology ,pg,group2,Sales,METRO/MAKRO Cash and Carry,Executive,network,India,AS,Marketing and Finance,0.38967007,0.08350182,-0.59948885,0.006889241,0.80594736,-0.61622804,-0.5348988,-0.11225095,-0.40117112,-0.102291815,-0.34562543,-0.15667738,-0.227953,-0.18475033
1052,Information Technology and Services,Australia,False,2020.0,Account Manger at Xero,,Vellore Institute of Technology,not_given,not-given,Sales,Xero,Manager,network,Australia,OC,not_given,-0.24523748,-0.083794296,0.35912672,0.0068888944,0.75134337,0.52895904,0.45873982,-0.11225095,0.040570125,-0.4709948,-0.34562543,-0.083794236,-0.11963407,0.52895916
1053,Consumer Services,Qatar,False,2019.0,Environmental Engineer,"Environmental Engineer specialized in  Sales and Business Development in providing innovative and sustainable water treatment solutions.

Expert on Climate Change, Water and Energy Policy in the Middle East & North Africa and Corporate Sustainability and Consultancy.",Vellore Institute of Technology,ug,group3,Sales,Metito,developer,network,Qatar,AS,Energy Engineering,0.38967007,-0.46310043,0.42788917,-0.2651548,0.75134337,-0.12845042,-0.799207,-0.11225095,-0.1905101,0.092446804,-0.34562543,-0.46310043,-0.227953,0.4671964
1054,Consumer Services,"Vancouver, British Columbia, Canada",False,2020.0,Licensed Insurance Agent at Square One Insurance Services,,Thompson Rivers University,pg,group2,Sales,Square One Insurance Services,Product Agent,network,Canada,NA,Business Studies,0.38967007,0.20112588,0.31853172,0.0068888944,-0.17173319,-0.61622804,-0.5348988,-0.11225095,0.35466394,-0.102917455,-0.34562543,-0.40686503,0.20820911,-0.09012361
1055,Consumer Services,"Tamil Nadu, India",False,2019.0,Graduate Engineer Trainee at Ericsson India Global Services Pvt Ltd,"Highly motivated graduate with valuable experience and education in engineering field (IT).  Enthusiastic individual with strong work ethic. Bi-lingual with fluency in English and Tamil who possesses excellent organizational and time management skills. Strong ability to multi-task under pressure and remain attentive to detail. A highly dedicative person to maintain the highest level of confidentiality.

EDUCATION:
 
              ➔ INSTITUTION: Vellore Institute of Technology (VIT), Vellore Campus.
              ➔ DEGREE: M-Tech Software Engineering 5- years Integrated.
              ➔ CGPA: 8.23

SKILL SET:

              ➔ DEVELOPEMENT: Python
              ➔ FRONT- END DEVELOPEMENT: HTML, CSS, Angular
              ➔ TOOLS: JUnit, Eclipse, Android Studio, AVD, VS Code, Sublime, Pycharm.",Vellore Institute of Technology,pg,group2,Sales,Ericsson India,Intern,network,India,AS,Computer Science,0.38967007,0.56172913,-0.09748421,-0.7811878,0.75134337,-0.61622804,-0.5348988,-0.11225095,-0.19192931,-0.308086,-0.34562543,-0.15667738,-0.227953,-0.5947676
1056,Hospital & Health Care,"Tamil Nadu, India",False,2019.0,Actively looking for opportunities,,Vellore Institute of Technology,ug,group2,Sales,Omega Healthcare Management Services Private Limited,Specialist,network,India,AS,Computer Science,0.6416101,0.56172913,0.352321,0.0068888944,0.75134337,-0.12845042,-0.5348988,-0.11225095,0.33348805,-0.39748526,-0.34562543,-0.15667738,-0.227953,-0.5947676
1057,Biotechnology,"Bangalore Urban, Karnataka, India",False,2020.0,Technical Sales Specialist at Integrated Gulf Biosystems,"Integrated Gulf Biosystems (IGB) is a complete solutions provider for Life and Analytical Sciences Instrumentation. Founded in 1999 in UAE, the Company is a leading supplier for analytical instruments in the Middle East and North African region. The experience, expertise and commitment demonstrated by the Company have laid a strong foundation of growth and performance that have helped it expand its footprint significantly across the globe with presence in UAE, Saudi Arabia, Qatar, Bahrain, Egypt and Libya. As the Company expands to newer geographies and regions, it remains rooted in its value of creating excellence. The Company aims at improving health and environment for the future by representing the best product manufacturers of the world such as Life Technologies-Applied Biosystems, Invitrogen, AB Sciex, Dionex, Molecular Devices, Hamilton etc, to offer quality products and equipments. Its service, processes and application support are benchmarked against globally recognized quality standards. IGB takes pride in providing the Science for Better Quality Living.",Vellore Institute of Technology,pg,group3,Sales,Integrated Gulf Biosystems,Sales Representative,network,India,AS,Biotechnology,0.22836165,0.41186523,0.0008530527,-0.1897477,0.75134337,-0.61622804,-0.799207,-0.11225095,0.10043278,-0.08542128,-0.34562543,-0.15667738,-0.227953,0.22836168
1058,-1,"Chengalpattu, Tamil Nadu, India",False,2016.0,Works at HSBC,,Vellore Institute of Technology(chennai),not_given,group2,Sales,HSBC Retail Banking and Wealth Management,Associate,network,India,AS,not_given,-0.025372282,0.6158785,0.37359318,0.0068888944,0.44429615,0.52895904,-0.5348988,-0.11225095,-0.04205946,-0.19023131,-0.34562543,-0.15667738,-0.227953,0.52895916
1059,E-Learning,"Bengaluru, Karnataka, India",False,2020.0,Sales Manager at Unacademy | Ex UBER,"Experienced Business Development Specialist with a demonstrated history of working in the internet industry. Skilled in Business Planning, Sales Management, Online Research, Market Research, and Sourcing. Strong business development professional graduated from Vellore Institute of Technology. ",Vellore Institute of Technology,pg,group3,Sales,Unacademy,Manager,network,India,AS,not_given,-0.8000387,0.39514416,-0.09686067,-0.90719575,0.75134337,-0.61622804,-0.799207,-0.11225095,-0.19690552,-0.4709948,-0.34562543,-0.15667738,-0.227953,0.52895916
1060,Consumer Goods,"Gurugram, Haryana, India",False,2019.0,Account Manager at ExxonMobil,"Experience across Petrochemicals and Healthcare & Life sciences domains.


I've worked closely with business and technical teams covering requirements across healthcare research and development, clinical trials management, vendor payments, food processing and packaging etc. 

As a business analyst, I've had direct communication with clients to elicit requirements, by understanding current industry trends in technology and proposing solutions accordingly. 
I often create BRD, FDD, Use Case, Process Flows using MS Visio & ARIS Tools, Logical Operating Model (LOM), Traceability Matrix, Excel Dashboards. I have a experience also in Data Visualization, Business Process Modelling and Functional Consulting.

Experienced in Business process modeling tools like ARIS and MS Visio, I also work on creating process flows, use case stories and related UML Diagrams for functional analysis and technical implementation.

As a MBA grad from XIMB (Xavier Institute of Management, Bhubaneswar), I've participated and won across multiple national level live projects and business competitions , which has helped me develop a keen sense of business knowledge and attention to detailed analyses.

p.s. Also an ardent fan of Brand marketing know-hows, Marketing solutions, Graphic novels and Videography!",Xavier Institute of Management,pg,group3,Sales,ExxonMobil,Manager,network,India,AS,Marketing and Finance,0.39451176,0.15288514,0.11555323,-0.070525095,-0.7097864,-0.61622804,-0.799207,-0.11225095,0.32022637,-0.4709948,-0.34562543,-0.15667738,-0.227953,-0.18475033
1061,Consumer Goods,Singapore,False,2017.0,"Retail operations Programs, Analytics & Strategy APAC  @ Apple",,IE Business School,pg,group2,Sales,Apple,Retailer,network,Singapore,AS,Management,0.39451176,-0.3397785,-0.013773501,0.0068888944,-0.21883316,-0.61622804,-0.5348988,-0.11225095,-0.24762185,0.07484966,-0.34562543,-0.33977845,-0.227953,-0.581318
1062,Civil Engineering,"Vancouver, British Columbia, Canada",True,2021.0,Aspiring Project Coordinator as a Civil Engineering Graduate from The University of British Columbia,"Graduated with a Masters of Engineering degree in Civil Engineering (Project & Construction Management) at The University of British Columbia. Currently seeking job opportunities for a full-time Project Coordinator position. Interested in Risk Management, Project scheduling and Document management. 

Worked at several academic projects that primarily include financial modelling, BIM modelling and productivity analysis. Participated and secured first place in a nation-wide concrete canoe competition organized by ASCE held in VIT, Vellore. Developed industry relevant skills such as attention to detail, team management and strong analytical abilities. Looking forward to attaining more hands-on knowledge and gaining practical skills! 

",The University of British Columbia,ug,group2,Sales,The Salvation Army,Associate,network,Canada,NA,Civil Engineering,0.51126933,0.20112588,0.14590056,-0.13559555,-0.041844368,-0.12845042,-0.5348988,-0.11225095,0.30371547,-0.19023164,-0.34562543,-0.40686503,0.20820911,0.51126933
1063,Consumer Services,"Bangalore Urban, Karnataka, India",False,2019.0,Associate in Markets Clients & Industry at Grant Thornton LLP,,Vellore Institute of Technology,pg,group3,Sales,Grant Thornton LLP,Associate,network,India,AS,Computer Science,0.38967007,0.41186523,-0.23070839,0.0068888944,0.75134337,-0.61622804,-0.799207,-0.11225095,0.080275565,-0.19023131,-0.34562543,-0.15667738,-0.227953,-0.5947676
1064,Consumer Services,"Pune, Maharashtra, India",False,2020.0,Account Manager at ICICI Bank.,"Working as an Account Manager in the field of Trade finance at ICICI Bank.
-PGDB from Manipal Academy of Higher Education.
-Graduate in B.Tech Electronics and instrumentation engineering from VIT University, Vellore.",Manipal Academy of Higher Education,pg,group2,Sales,ICICI Bank,Manager,network,India,AS,banking,0.38967007,0.20149222,-0.20224494,0.022482654,0.015394606,-0.61622804,-0.5348988,-0.11225095,0.087683015,-0.4709948,-0.34562543,-0.15667738,-0.227953,0.08308453
1065,Consumer Services,"Gurgaon, Haryana, India",False,2019.0,Social Media Strategist/Writer/Poet,I have been managing Social Media & other digital marketing requirements for over 7 years for some of the well-known brands & government initiatives in India.,VIT University,pg,group3,Sales,The PRactice,Manager,network,India,AS,Marketing and Finance,0.38967007,-0.28007355,0.06753717,0.08940902,0.6104413,-0.61622804,-0.799207,-0.11225095,0.19784059,-0.4709948,-0.34562543,-0.15667738,-0.227953,-0.18475033
1066,Information Technology and Services,"Kolkata, West Bengal, India",False,2020.0,Solution Integration- Associate at FICO,The only way to achieve success is working hard! 💪✌️,Vellore Institute of Technology,pg,group2,Sales,FICO,Associate,network,India,AS,Computer Science,-0.24523748,0.00994799,-0.11668261,0.06628328,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.14263941,-0.19023131,-0.34562543,-0.15667738,-0.227953,-0.5947676
1067,Consumer Services,"Kottayam, Kerala, India",False,2019.0,Student at Vellore Institute of Technology,internship - hedge equities kochi,Vellore Institute of Technology,pg,group2,Sales,ICICI Bank,Manager,network,India,AS,Marketing and Finance,0.38967007,0.40055734,0.7517292,0.010211666,0.75134337,-0.61622804,-0.5348988,-0.11225095,0.087683015,-0.4709948,-0.34562543,-0.15667738,-0.227953,-0.18475033
1068,Hospital & Health Care,Qatar,False,2018.0,Hr and Admin personel,"Experienced Admin/Coordinator with a demonstrated history of working in the supply of medical device industry. Skilled in Microsoft Excel, Customer Service, Microsoft Word and Windows. Strong program and project management professional with a Master of Business Administration (M.B.A.) focused in HUMAN RESOURCE from Vellore Institute of Technology University. ",,pg,group2,Sales,Al Obeidly Trading Technology-Medical Division ,Sales Representative,network,Qatar,AS,Marketing and Finance,0.6416101,-0.46310043,0.11947293,-0.4178129,0.0068888944,-0.61622804,-0.5348988,-0.11225095,0.63677174,-0.08542154,-0.34562543,-0.46310043,-0.227953,-0.18475033
1069,Logistics and Supply Chain,"Chennai, Tamil Nadu, India",False,2020.0,Senior Associate sales at Delhivery,Young energetic and self motivated to do any job in sales and marketing . Have high passion of hunting accounts and farming them . My past experience have made me to tackle all the situations and how to handle it,PSG Institute of Management,pg,group2,Sales,Delhivery,Associate,network,India,AS,Marketing and Finance,-0.20004235,0.60004115,-0.4668918,-0.302332,-0.34925726,-0.61622804,-0.5348988,-0.11225095,-0.21965879,-0.19023131,-0.34562543,-0.15667738,-0.227953,-0.18475033
1070,Mechanical or Industrial Engineering,United Arab Emirates,False,2020.0,Data Visualizer ||  Business Intelligence || Tableau & Qlik Sense,,Loyola Institute Of Business Administration,pg,group2,Sales,Audi Volkswagen Middle East,Sales Representative,network,United Arab Emirates,AS,Marketing and Finance,0.5515584,0.51368505,-0.16420928,0.0068888944,-0.18707024,-0.61622804,-0.5348988,-0.11225095,0.038094968,-0.08542154,-0.34562543,0.51368517,-0.227953,-0.18475033
1071,Consumer Goods,India,False,2017.0,Field Application Engineer at Synopsys,,Vellore Institute of Technology,pg,not-given,Sales,Synopsys Inc,Engineer,network,India,AS,Design,0.39451176,-0.15667738,-0.12991919,0.0068888944,0.75134337,-0.61622804,0.45873982,-0.11225095,-0.16893005,0.21950708,-0.34562543,-0.15667738,-0.227953,-0.08776317
